house_age;total_rooms;total_bedrooms;median_income;ocean_proximity;price
31;914;177;3.7344;INLAND;115300
46;844;147;3.375;NEAR OCEAN;136300
33;1054;209;7.7773;NEAR OCEAN;456300
28;856;189;0.8012;NEAR BAY;81800
52;1316;177;5.2915;NEAR BAY;333000
33;587;170;1.5625;INLAND;55800
52;791;174;3.3542;<1H OCEAN;178100
38;637;204;1.5714;<1H OCEAN;89700
41;620;133;2.6546;<1H OCEAN;159600
24;574;173;2.25;NEAR OCEAN;152300
27;500;159;2.7426;<1H OCEAN;103100
26;934;148;5.3209;<1H OCEAN;185000
10;1325;189;12.0933;NEAR BAY;500001
18;2245;392;4.5795;INLAND;158300
39;395;159;2.725;NEAR OCEAN;86500
52;1207;152;10.7569;NEAR BAY;500001
43;968;199;2.5333;NEAR OCEAN;239300
34;696;145;3.525;NEAR OCEAN;254100
16;712;147;2.56;<1H OCEAN;150000
18;1048;185;3.625;INLAND;125000
44;743;155;2.5819;<1H OCEAN;209600
21;795;163;3.7991;<1H OCEAN;175000
28;731;155;3.2917;NEAR OCEAN;225000
17;1319;267;2.625;NEAR OCEAN;135600
42;881;170;2.9511;<1H OCEAN;203900
52;679;132;4.2344;<1H OCEAN;162500
32;555;159;1.9762;<1H OCEAN;137500
38;1104;216;6.1985;<1H OCEAN;422000
42;967;175;5.6611;<1H OCEAN;265600
35;782;153;4.2062;<1H OCEAN;161300
36;949;164;4.1042;<1H OCEAN;124400
29;889;166;4.9609;<1H OCEAN;186700
45;1016;172;7.5;NEAR OCEAN;434500
33;1066;191;6.8;<1H OCEAN;240800
30;746;172;4.1;<1H OCEAN;166400
18;1703;360;3.6563;INLAND;146900
11;567;184;2.5284;<1H OCEAN;122500
34;876;150;5.2769;<1H OCEAN;241100
39;1103;175;2.8125;<1H OCEAN;291300
17;1090;164;5.5061;<1H OCEAN;231800
22;1046;195;4.375;INLAND;213500
8;892;185;2.6833;INLAND;118800
12;782;166;2.8274;INLAND;79500
19;619;239;2.1;INLAND;14999
42;870;170;4.625;INLAND;173800
17;821;163;7.3715;<1H OCEAN;263000
39;405;163;1.695;<1H OCEAN;94800
34;916;162;4.9107;<1H OCEAN;222000
36;856;146;5.1993;<1H OCEAN;246000
28;1020;169;4.5694;INLAND;287500
25;1137;170;7.5744;<1H OCEAN;259300
35;614;180;1.6953;NEAR OCEAN;81300
15;666;152;2.15;NEAR OCEAN;131300
33;620;161;1.8417;NEAR OCEAN;150000
52;754;175;3.9063;NEAR BAY;93800
34;842;186;1.8355;INLAND;63000
39;844;161;1.832;INLAND;70500
45;733;178;2.5962;<1H OCEAN;124100
46;723;154;2.0893;<1H OCEAN;96500
50;914;167;4.7361;NEAR OCEAN;418800
13;866;252;2.875;INLAND;70200
39;869;173;4.0313;NEAR OCEAN;253800
11;2520;401;4.665;INLAND;145600
9;525;171;3.375;<1H OCEAN;165300
21;722;178;2.5656;INLAND;102500
18;755;169;1.4196;INLAND;64700
52;741;170;4.4712;NEAR BAY;500001
48;833;188;2.2417;NEAR BAY;87900
30;744;156;2.1898;INLAND;63200
30;1189;255;3.4838;INLAND;112500
40;751;184;1.3578;NEAR BAY;147500
36;1047;214;1.712;NEAR BAY;82100
47;824;223;2.625;NEAR BAY;98200
39;1105;180;3.3929;INLAND;82100
25;875;156;3;INLAND;72800
40;1013;150;5.7143;<1H OCEAN;382400
21;797;162;2.625;<1H OCEAN;191100
45;531;164;2.1406;<1H OCEAN;162500
37;797;190;2.7434;<1H OCEAN;95200
52;836;175;4.125;<1H OCEAN;174000
34;584;176;1.5809;INLAND;100000
52;906;165;2.8542;INLAND;139400
52;458;148;1.2863;NEAR OCEAN;86300
11;1412;185;7.7517;<1H OCEAN;500001
47;1088;190;4.2708;NEAR BAY;207100
11;826;150;3.9265;INLAND;107400
24;807;174;2.6181;INLAND;163500
29;918;159;4.2768;INLAND;151300
52;900;183;3.25;NEAR OCEAN;296400
19;1127;170;6.3325;<1H OCEAN;250000
50;772;194;2.2206;INLAND;59200
32;1079;207;4.9833;<1H OCEAN;213000
52;1421;163;10.586;<1H OCEAN;500001
44;795;181;2;<1H OCEAN;90300
27;504;142;0.9518;<1H OCEAN;91400
38;796;159;3.6607;<1H OCEAN;110400
35;1008;165;3.7778;NEAR OCEAN;487500
34;1226;180;3.8068;INLAND;150400
25;692;146;3.6897;INLAND;101100
10;901;163;4.6648;NEAR OCEAN;156100
19;691;191;3.1312;NEAR OCEAN;388500
36;839;158;2.3438;INLAND;122700
34;878;160;4.0417;<1H OCEAN;232100
52;674;180;3.375;NEAR BAY;116100
52;1026;180;2.875;NEAR BAY;160000
52;1225;169;5.7912;NEAR BAY;327100
20;743;171;1.625;INLAND;88300
41;896;198;2.2778;<1H OCEAN;128100
39;552;151;3.25;<1H OCEAN;153300
5;1113;186;4.1719;INLAND;146600
36;877;175;3.4167;<1H OCEAN;339100
35;1117;181;4.3269;<1H OCEAN;224700
28;699;180;2.1875;INLAND;81900
17;821;176;3.1667;NEAR OCEAN;160600
52;492;139;3.0865;NEAR BAY;225000
28;1072;165;6.1636;NEAR BAY;367700
36;857;156;5.0086;NEAR BAY;366700
32;701;182;2.785;<1H OCEAN;169300
27;925;176;2.6406;INLAND;129700
31;737;146;3.5625;NEAR OCEAN;194100
35;948;184;1.8088;NEAR BAY;118800
27;744;214;2.7411;NEAR BAY;350000
32;741;191;1.7604;INLAND;68600
19;749;238;1.7727;INLAND;50000
29;855;199;2.6964;<1H OCEAN;122200
33;879;181;5.3146;<1H OCEAN;168600
38;1067;170;4.6389;<1H OCEAN;183800
36;1018;148;10.5045;NEAR OCEAN;500001
2;966;270;1.9667;<1H OCEAN;450000
33;563;194;2.75;NEAR BAY;231300
28;639;179;3.0588;<1H OCEAN;145200
26;784;177;2.8438;<1H OCEAN;174300
14;1016;219;2.8071;INLAND;137500
24;880;187;3.4583;INLAND;67500
36;1019;168;2.625;INLAND;210000
36;848;186;0.9838;INLAND;79300
24;977;147;4.9286;<1H OCEAN;173700
22;2398;407;7.0423;NEAR OCEAN;500001
33;835;181;5.1082;<1H OCEAN;195800
23;910;199;1.7448;INLAND;80100
21;983;165;2.975;INLAND;63900
34;813;171;2.8393;INLAND;69800
26;890;172;4.15;INLAND;68200
22;984;176;3.25;INLAND;88900
38;983;185;4.8816;<1H OCEAN;231500
34;479;182;1.525;<1H OCEAN;210000
41;656;162;1.8047;<1H OCEAN;101800
25;1259;184;5.7407;<1H OCEAN;302200
52;695;145;3.665;<1H OCEAN;220400
26;794;182;3.175;<1H OCEAN;170800
35;881;159;3.6654;<1H OCEAN;184500
41;847;173;6.822;NEAR OCEAN;500001
15;991;277;3.5469;INLAND;82500
31;1736;250;6.3835;NEAR OCEAN;407800
17;856;167;3.5859;INLAND;144300
20;1213;171;7.2592;<1H OCEAN;314800
29;1194;176;6.1001;<1H OCEAN;298900
12;1198;174;6.0097;INLAND;187500
28;633;137;3.6042;NEAR OCEAN;95600
30;1055;211;2.8676;INLAND;76900
31;699;186;2.7443;INLAND;94200
36;1089;182;4.69;<1H OCEAN;252600
25;1134;153;6.5095;NEAR BAY;371200
32;1283;194;6.0574;<1H OCEAN;431000
34;864;184;2.0417;INLAND;72500
25;948;198;2.3026;INLAND;90600
34;721;165;2.0789;<1H OCEAN;92400
45;1271;190;7.6447;<1H OCEAN;500001
47;858;170;2.0385;<1H OCEAN;225000
35;1065;176;5.0384;<1H OCEAN;200800
35;1011;183;3.9861;<1H OCEAN;188700
44;938;181;4.4722;<1H OCEAN;218300
41;1164;211;2.4196;INLAND;70700
14;1078;261;3.7083;NEAR OCEAN;210000
5;665;171;4.5833;<1H OCEAN;230400
38;1232;178;11.075;<1H OCEAN;500001
27;891;183;6;<1H OCEAN;381500
52;866;205;5.0224;NEAR BAY;261900
52;982;197;4.2167;NEAR BAY;231900
52;941;184;2.1429;INLAND;69900
41;1183;203;5.1071;NEAR OCEAN;314100
49;1068;190;7.2045;NEAR BAY;500001
15;1176;166;5.9441;INLAND;228200
11;4103;882;2.1029;INLAND;99100
30;917;157;5.8133;<1H OCEAN;195700
36;1124;184;2.1667;INLAND;93800
52;957;188;3.2344;NEAR BAY;245500
52;1210;168;3.3571;NEAR BAY;405400
20;1309;184;10.9506;INLAND;475800
35;1192;201;4.9219;INLAND;182000
52;1112;209;3.3462;NEAR OCEAN;50800
33;821;181;1.2469;INLAND;46700
35;913;161;5.6169;<1H OCEAN;411200
49;806;199;2.3654;<1H OCEAN;137500
39;859;164;3.7143;<1H OCEAN;158200
42;725;183;3.2589;<1H OCEAN;233300
36;1102;193;6.1187;<1H OCEAN;342000
16;1409;244;8.0144;NEAR OCEAN;500001
20;812;192;3.25;<1H OCEAN;350000
17;1944;394;1.6875;INLAND;111500
29;932;153;4.8214;INLAND;143400
52;402;183;1.3125;NEAR OCEAN;87500
8;864;156;4.8984;NEAR OCEAN;151500
43;1005;200;2.6812;INLAND;72800
42;709;182;2.1912;<1H OCEAN;165000
48;707;166;3.1797;<1H OCEAN;140400
12;1350;300;1.7393;INLAND;81300
32;1013;169;5.1118;INLAND;226900
32;1075;170;5.0499;NEAR BAY;306800
19;1087;171;3.3182;INLAND;113800
10;829;146;4.1484;INLAND;102900
35;674;153;2.6667;<1H OCEAN;147800
23;588;157;1.2056;<1H OCEAN;87500
47;825;187;2.3333;<1H OCEAN;133300
37;682;172;3.8125;<1H OCEAN;138000
29;716;214;2.6042;ISLAND;287500
19;656;200;1.2656;<1H OCEAN;500000
14;1265;230;3.6618;INLAND;161300
19;946;182;5.0155;INLAND;97300
35;1074;180;5.253;NEAR OCEAN;204000
20;1066;219;3.1607;<1H OCEAN;119300
45;886;165;4.2708;NEAR BAY;267000
20;1145;198;3.1103;<1H OCEAN;281900
17;1051;172;5.6652;<1H OCEAN;234500
30;971;185;4.2045;NEAR OCEAN;226500
32;946;198;1.9728;INLAND;97900
16;1316;194;10.1597;NEAR OCEAN;500001
52;696;191;2.6736;NEAR BAY;191300
23;1150;174;4.9167;INLAND;152400
37;709;190;0.8641;NEAR BAY;84200
33;1036;181;3.4107;INLAND;110400
18;902;195;2.2083;INLAND;55000
36;832;198;1.4773;INLAND;57400
18;942;193;2.0673;INLAND;87500
43;729;172;2.9519;<1H OCEAN;140900
8;762;204;2.4886;<1H OCEAN;137500
52;583;157;1.4115;<1H OCEAN;140600
37;1275;177;7.1885;INLAND;500001
33;1143;172;4.9107;<1H OCEAN;279900
42;763;191;2.0486;<1H OCEAN;101800
33;677;182;2.5893;<1H OCEAN;88900
47;882;185;4.625;<1H OCEAN;163000
38;914;176;6.0335;<1H OCEAN;255400
28;651;252;1.9722;<1H OCEAN;500001
34;1256;178;6.4271;NEAR BAY;451700
44;1066;190;3.6389;NEAR BAY;304000
35;931;181;5.5867;<1H OCEAN;182500
6;1638;188;13.0502;<1H OCEAN;500001
34;1038;175;4.9219;<1H OCEAN;200000
35;1068;190;4.0735;<1H OCEAN;208700
20;1703;294;3.087;INLAND;196900
29;1087;174;4.3625;INLAND;158800
45;942;166;3.8594;INLAND;90800
47;552;161;0.9589;NEAR OCEAN;90000
11;1112;164;4.7679;<1H OCEAN;169500
35;1018;169;6.1648;<1H OCEAN;371900
25;830;228;3.3917;NEAR BAY;342900
9;1114;172;4.7159;INLAND;163700
52;888;168;2.1944;NEAR BAY;211500
52;834;186;3.15;NEAR BAY;206300
44;1064;230;2.875;INLAND;61500
21;1155;210;2.3851;INLAND;67500
23;959;212;2.5536;NEAR OCEAN;96100
17;976;202;3.6641;INLAND;80800
45;727;168;2.6528;<1H OCEAN;300000
36;627;177;2.9844;<1H OCEAN;163600
37;932;171;4.375;<1H OCEAN;177600
19;993;174;5.7039;<1H OCEAN;277600
40;680;160;2.6058;INLAND;72700
33;993;186;2.4286;INLAND;103600
36;969;206;1.5938;INLAND;57600
48;1001;205;1.8333;INLAND;58200
43;733;162;3.2708;NEAR OCEAN;255300
39;1030;191;3.9265;<1H OCEAN;236900
35;1172;184;7.3561;<1H OCEAN;500001
39;915;199;1.8894;INLAND;112500
20;1042;183;2.9815;INLAND;73000
37;1229;181;7.0175;NEAR BAY;366700
52;1049;185;4.1458;NEAR BAY;248500
35;1032;173;6.396;NEAR BAY;208500
14;1087;165;7.2909;INLAND;155600
48;814;165;3.1406;<1H OCEAN;223100
38;862;178;4.375;<1H OCEAN;186200
41;762;147;3.75;<1H OCEAN;123100
36;1026;182;4.3438;<1H OCEAN;233600
52;1114;169;4.2917;<1H OCEAN;247600
40;866;181;6.91;<1H OCEAN;380000
37;653;176;1.9236;INLAND;64400
9;999;189;2.125;INLAND;151800
16;693;185;2.3417;INLAND;191700
18;909;198;3.1696;INLAND;77400
15;1095;158;6.8099;<1H OCEAN;328200
33;555;165;2.1786;<1H OCEAN;137500
40;859;196;3.5789;INLAND;110400
22;765;198;3.1812;<1H OCEAN;87500
20;710;188;4.0962;<1H OCEAN;214100
34;963;159;4.0156;NEAR BAY;134700
37;1179;282;1.3712;NEAR OCEAN;118300
38;1460;311;2.7171;NEAR OCEAN;131300
18;1115;193;2.7969;INLAND;123800
38;727;173;2.4653;INLAND;49500
52;1467;190;7.2574;NEAR BAY;352100
45;973;183;2.6389;INLAND;30000
11;1264;271;1.3;INLAND;69700
42;796;203;2.037;<1H OCEAN;92600
32;1016;190;4.3;<1H OCEAN;151300
36;1111;184;3.7031;<1H OCEAN;245300
35;1034;180;5.4602;<1H OCEAN;231600
44;822;180;4.4;<1H OCEAN;225800
42;765;171;1.6875;INLAND;113500
52;907;180;2.2125;INLAND;104000
35;1420;193;8.0639;NEAR OCEAN;500001
45;1032;235;3.6389;<1H OCEAN;186600
37;991;180;5.1701;NEAR OCEAN;294200
27;958;184;2.1875;INLAND;82800
46;769;183;2.25;NEAR BAY;84200
15;1216;166;5.8418;NEAR BAY;240300
35;990;192;3.3214;INLAND;101600
21;939;176;1.7196;INLAND;75000
35;1150;185;5.741;<1H OCEAN;220600
18;847;185;5.2149;<1H OCEAN;201900
52;1430;186;10.3661;<1H OCEAN;500001
37;973;221;1.6645;<1H OCEAN;94900
23;1160;166;8.105;<1H OCEAN;386200
40;1382;167;11.7045;<1H OCEAN;500001
47;1107;199;3.7344;<1H OCEAN;179400
34;1355;262;2.0903;INLAND;56100
14;1131;193;3.9;INLAND;180400
32;1162;196;3.875;<1H OCEAN;203000
17;1144;202;4.4107;INLAND;151600
16;1129;198;5.0346;<1H OCEAN;174600
32;1083;188;2.9241;INLAND;187500
21;916;194;2.125;INLAND;63300
20;1132;177;5.3767;INLAND;231300
43;818;193;2.4776;NEAR BAY;101600
52;1611;203;8.7477;NEAR BAY;500001
35;952;178;3.0536;NEAR OCEAN;107000
39;1295;240;3.9519;INLAND;98900
44;901;179;3.3125;<1H OCEAN;186400
36;878;167;4.1181;<1H OCEAN;190400
39;787;181;3.2279;<1H OCEAN;158500
52;830;183;3.1397;<1H OCEAN;253700
35;804;159;2.7361;<1H OCEAN;145700
42;618;163;3.3472;<1H OCEAN;154200
41;834;166;3.7321;<1H OCEAN;167500
36;961;173;4.2596;<1H OCEAN;181100
25;1821;344;6.9931;INLAND;398800
18;1046;204;4.119;INLAND;110900
39;679;164;2.3036;INLAND;110600
8;1031;201;2.8194;INLAND;136300
13;1187;255;1.9107;INLAND;155700
52;876;170;3.0865;INLAND;119800
37;1150;203;5.7415;<1H OCEAN;398500
18;943;213;3.934;<1H OCEAN;228600
48;977;194;4.7708;NEAR BAY;156300
26;1299;174;6.2296;INLAND;291700
26;1485;334;1.9667;INLAND;84600
17;1106;207;3.3295;INLAND;126600
51;956;196;2.101;INLAND;56700
28;941;175;2.3466;INLAND;53400
38;993;175;6.2673;<1H OCEAN;357200
38;1089;174;7.5953;<1H OCEAN;434800
47;843;194;3.3687;<1H OCEAN;151700
41;616;196;3.3333;<1H OCEAN;115100
44;932;179;3.6875;<1H OCEAN;178100
34;617;189;1.9766;<1H OCEAN;162500
9;1143;179;6.8474;NEAR OCEAN;356700
40;1076;193;3.4943;<1H OCEAN;311100
10;969;160;6.5799;NEAR BAY;218100
18;1027;206;4.2159;<1H OCEAN;211300
32;1263;178;3.6667;INLAND;314100
36;838;210;2.4861;INLAND;96200
52;1294;175;5.7914;NEAR OCEAN;500001
45;989;174;4.8382;NEAR OCEAN;289400
17;748;184;3.4375;NEAR BAY;290600
34;1575;183;13.1867;NEAR BAY;500001
30;1502;186;10.0259;NEAR BAY;500001
34;1138;205;4.5147;<1H OCEAN;271400
36;788;181;1.47;INLAND;61900
49;893;177;3.875;NEAR BAY;140600
41;1125;195;6.1593;NEAR BAY;344000
16;1443;249;3.2031;INLAND;129200
33;662;183;1.3929;INLAND;55600
14;1452;217;5.0329;NEAR OCEAN;165600
35;825;179;1.1638;INLAND;57900
42;600;171;2.4107;<1H OCEAN;184400
45;543;191;2.3;<1H OCEAN;55000
36;871;201;2.1845;<1H OCEAN;123800
16;1170;178;5.2522;INLAND;125300
20;1367;284;2.0227;INLAND;47500
52;974;190;4.3281;NEAR OCEAN;236500
35;1273;210;4.4861;NEAR BAY;269300
29;720;174;3.1964;<1H OCEAN;151900
34;1127;185;4.375;<1H OCEAN;224700
5;1585;247;6.9136;<1H OCEAN;493300
52;814;216;2.8542;INLAND;125000
14;859;212;1.6838;INLAND;57900
35;1213;200;3.6806;NEAR OCEAN;172400
52;1447;186;15.0001;NEAR BAY;500001
43;940;208;2.3056;INLAND;62300
16;994;;2.1875;INLAND;76400
20;1288;179;5.8652;<1H OCEAN;302600
35;1191;190;3.5375;INLAND;96700
34;673;173;2.3523;INLAND;66000
23;1586;448;1.2132;INLAND;30000
34;572;154;2.0433;<1H OCEAN;138800
44;1079;210;2.2411;<1H OCEAN;106400
24;950;183;3.0694;INLAND;125000
43;1077;199;3.0139;INLAND;115600
40;961;199;2.06;INLAND;85500
38;833;206;1.8333;NEAR OCEAN;127100
20;1505;184;6.5772;NEAR OCEAN;245200
16;1080;166;4.5278;INLAND;166900
15;978;187;4.375;<1H OCEAN;158000
27;1269;186;6.8374;NEAR BAY;500001
26;1582;196;10.0595;<1H OCEAN;500001
52;769;206;2.57;NEAR BAY;72000
36;998;178;4.0208;NEAR BAY;191500
19;862;167;4.3456;NEAR BAY;163000
38;1261;177;6.917;NEAR BAY;438000
25;1026;221;1.5625;INLAND;52800
40;1065;214;4.1964;<1H OCEAN;185900
29;917;181;3.4612;<1H OCEAN;425000
44;865;208;1.9;<1H OCEAN;110900
34;975;192;3.7933;INLAND;116100
37;775;179;3.25;INLAND;159200
38;929;166;3.4485;<1H OCEAN;119400
37;796;175;3.6;<1H OCEAN;156400
29;815;206;3.0052;<1H OCEAN;166700
41;726;166;3.7885;NEAR OCEAN;156900
37;1013;199;4.7845;<1H OCEAN;231400
41;1049;198;4.3571;NEAR OCEAN;287500
25;1025;266;3.875;<1H OCEAN;137500
17;1063;189;2.1719;<1H OCEAN;261300
8;1266;;9.802;<1H OCEAN;500001
14;980;171;4.4306;INLAND;170100
42;801;176;1.8681;INLAND;59700
44;819;184;1.725;INLAND;59300
19;1043;204;1.6033;INLAND;98800
20;1151;211;5.93;<1H OCEAN;384600
24;1268;269;1.742;INLAND;118800
40;930;199;1.3281;NEAR BAY;113300
50;968;195;2.9844;NEAR BAY;179900
35;1130;192;4.3897;NEAR BAY;190600
37;978;202;3.625;NEAR BAY;156300
24;1341;214;4;INLAND;94500
33;827;192;2.6429;<1H OCEAN;143100
43;825;212;1.8897;<1H OCEAN;174300
35;1281;219;4.8304;<1H OCEAN;152800
52;1001;191;3.7614;NEAR OCEAN;241700
25;928;195;3.4904;INLAND;196900
16;1039;182;2.9688;INLAND;128300
14;1343;175;7.2648;<1H OCEAN;363200
34;988;173;5.6047;<1H OCEAN;205100
25;768;195;3.175;<1H OCEAN;132800
19;1048;262;2.2917;INLAND;118200
26;696;185;2.6121;NEAR OCEAN;125000
4;1078;158;4.6667;<1H OCEAN;223300
17;934;284;1.9875;INLAND;83700
52;1375;322;3.9028;NEAR BAY;500001
41;395;164;2.375;<1H OCEAN;175000
18;1947;250;8.1871;<1H OCEAN;500001
16;1081;181;4.6779;INLAND;131300
49;1141;239;3.7143;<1H OCEAN;148800
47;998;211;3.1587;NEAR BAY;100400
31;767;171;3.7614;NEAR BAY;176000
35;899;179;4.2857;NEAR BAY;190400
30;1019;192;2.5259;INLAND;81300
24;1216;289;3.1625;INLAND;103600
16;1136;196;6.2558;INLAND;146300
15;1278;217;4.4821;INLAND;140300
35;1026;195;4.5909;<1H OCEAN;179200
32;563;191;2.0341;<1H OCEAN;250000
44;1097;186;6.235;<1H OCEAN;361400
24;1219;177;6.7978;<1H OCEAN;325000
28;676;177;3.2361;<1H OCEAN;187500
41;679;184;2.1406;<1H OCEAN;165300
35;994;203;3.5865;<1H OCEAN;178000
40;928;187;5.5255;<1H OCEAN;242700
35;1248;206;5.6426;<1H OCEAN;348200
52;1275;218;2.3482;NEAR OCEAN;163500
14;1006;187;3.1042;INLAND;152000
52;950;229;2.315;<1H OCEAN;182100
16;959;176;4.5;<1H OCEAN;173300
15;1386;247;3.6415;INLAND;124200
16;980;193;4.0729;INLAND;100000
31;1007;181;3.625;INLAND;91300
27;754;200;1.9531;INLAND;100800
19;5411;1042;3.1324;INLAND;132000
19;1791;367;3.3625;INLAND;100000
41;930;191;3.4141;INLAND;90600
39;1160;191;5.9539;NEAR OCEAN;379100
21;1214;192;7.598;<1H OCEAN;347800
21;1062;179;4.7386;<1H OCEAN;394100
17;1343;203;4.625;NEAR OCEAN;386400
25;990;166;4.8269;NEAR OCEAN;272900
52;783;184;1.9375;NEAR BAY;126600
24;1028;185;2.9688;INLAND;86400
36;738;168;1.4415;INLAND;54400
30;752;194;1.6607;INLAND;56100
40;850;227;0.9407;INLAND;43600
35;777;187;3.4;<1H OCEAN;139600
52;678;173;4.0625;<1H OCEAN;171300
32;432;182;2.1471;<1H OCEAN;125000
26;778;173;3.2679;<1H OCEAN;236500
42;1173;201;5.5787;<1H OCEAN;142000
52;1506;208;7.8705;<1H OCEAN;500001
20;1257;201;4.6591;INLAND;247200
6;950;184;4.7237;NEAR OCEAN;220700
35;1175;191;4.125;<1H OCEAN;189200
48;1127;;3.0917;INLAND;128100
10;642;176;2.1528;INLAND;162500
21;1161;282;3.1827;INLAND;71700
52;878;186;3.7045;NEAR OCEAN;360500
5;1519;186;10.3798;<1H OCEAN;500001
3;1167;306;2.4191;INLAND;217500
17;629;221;3.2847;NEAR OCEAN;112500
52;1121;211;3.3929;NEAR BAY;75700
52;1010;209;1.1667;NEAR BAY;78400
34;1133;254;2.05;INLAND;68900
22;1217;224;2.6607;INLAND;84600
45;1337;187;5.187;INLAND;153800
19;1317;189;4.526;INLAND;148700
38;949;190;2.3618;INLAND;80000
50;921;187;2.2188;NEAR OCEAN;105800
32;1430;419;1.9417;NEAR OCEAN;76100
36;973;219;1.5625;INLAND;46700
13;1264;202;4.5903;INLAND;94300
38;1016;202;2.2885;INLAND;75000
40;1178;244;2.6477;INLAND;43500
9;1245;234;3.125;INLAND;93400
29;1287;194;6.4171;<1H OCEAN;319300
45;972;181;4.8194;<1H OCEAN;181300
40;1134;184;4.569;<1H OCEAN;333900
49;702;;4.8958;<1H OCEAN;333600
43;863;206;0.9463;<1H OCEAN;95000
35;1022;183;3.9375;<1H OCEAN;187500
52;1282;189;6.1159;INLAND;470800
38;793;193;2.8837;NEAR OCEAN;176100
42;1021;300;1.8036;NEAR OCEAN;175000
36;1543;214;9.3399;<1H OCEAN;500001
36;1083;187;5.7765;<1H OCEAN;339500
52;867;199;2.6713;NEAR OCEAN;234600
42;1024;191;4.105;<1H OCEAN;194500
32;1133;166;6.213;<1H OCEAN;230800
16;1106;195;5.0126;INLAND;192300
52;567;193;1.625;INLAND;187500
24;1017;227;1.5972;INLAND;112500
24;1203;310;1.1522;INLAND;87500
25;684;190;2.4524;NEAR OCEAN;90300
24;1663;199;10.7721;NEAR OCEAN;500001
21;1033;195;2.8173;NEAR OCEAN;226900
36;1054;193;4.5625;<1H OCEAN;240000
22;1477;195;10.3329;NEAR BAY;500001
29;1326;185;6.5474;<1H OCEAN;422900
19;1429;292;2.2589;INLAND;131600
45;792;203;2.6875;<1H OCEAN;129700
42;814;223;2.3942;<1H OCEAN;123200
48;483;190;2.3309;<1H OCEAN;126600
43;762;206;1.2315;<1H OCEAN;98200
18;393;189;1.8393;NEAR OCEAN;187500
36;1143;193;5.3184;<1H OCEAN;171100
26;1097;167;6.5799;<1H OCEAN;196600
23;1250;257;3.115;NEAR OCEAN;242600
32;1143;208;3.8333;<1H OCEAN;116100
21;1091;208;2.2321;INLAND;34600
32;965;183;3.8611;INLAND;93900
26;1151;200;3.6667;INLAND;166300
20;1160;181;5.2072;INLAND;164300
6;1068;182;4.7222;INLAND;109000
38;886;176;3.5938;NEAR OCEAN;125400
33;674;208;1.875;<1H OCEAN;114300
24;1378;272;1.5909;INLAND;221900
47;886;196;2.1991;INLAND;67200
36;880;177;3.8194;NEAR BAY;159400
12;1550;187;7.226;<1H OCEAN;255300
49;713;202;1.025;NEAR BAY;118800
52;938;195;3.8594;NEAR BAY;196400
52;830;200;2.7625;<1H OCEAN;232100
24;323;214;1.8304;<1H OCEAN;225000
39;882;221;1.8472;<1H OCEAN;99100
30;443;170;2.1964;<1H OCEAN;125000
35;842;201;2.6719;<1H OCEAN;109800
37;1249;202;4.4196;<1H OCEAN;223100
20;958;245;2.6094;NEAR OCEAN;362500
25;808;163;4.7679;<1H OCEAN;173100
17;2839;525;3.5667;INLAND;179200
35;1347;207;7.7068;NEAR BAY;500001
52;1327;190;12.5902;NEAR BAY;500001
26;7005;1358;2.125;INLAND;132500
38;674;178;1.3942;INLAND;69400
28;1326;184;8.2049;NEAR BAY;335200
52;1070;193;3.7262;NEAR BAY;166900
47;1064;245;1.3654;INLAND;57900
19;1003;235;2.9821;INLAND;90400
10;1604;352;3.7625;INLAND;113200
18;1284;193;4.5375;INLAND;130600
28;1089;179;3.2279;INLAND;95800
37;766;189;1.6607;INLAND;42100
42;944;200;2.6311;<1H OCEAN;124100
42;1298;174;12.8483;<1H OCEAN;500001
35;1038;209;5.9214;<1H OCEAN;254900
31;894;203;3.6771;<1H OCEAN;141500
48;1172;205;3.825;<1H OCEAN;183000
19;901;183;2.2375;INLAND;64300
9;1302;177;7.5;<1H OCEAN;423200
18;874;203;1.6833;INLAND;71000
9;695;188;1.6172;INLAND;56300
16;1000;197;2.3062;INLAND;138800
24;845;190;4.7039;<1H OCEAN;225000
45;907;176;2.2292;INLAND;92000
11;939;187;2.375;INLAND;145800
11;1229;236;3.102;<1H OCEAN;111300
20;463;180;1.0313;INLAND;85000
35;1166;193;2.2452;INLAND;102800
34;1086;187;3.3074;INLAND;84200
35;1093;192;2.7009;INLAND;80200
40;1092;213;5.1165;<1H OCEAN;184200
52;851;190;1.9044;INLAND;64900
52;1495;230;8.1548;NEAR OCEAN;500001
52;1283;173;7.4029;NEAR OCEAN;345700
37;1446;181;10.7355;NEAR BAY;500001
17;1791;356;3.8826;INLAND;92400
36;1069;228;1.9559;INLAND;78400
41;856;178;3.1458;NEAR BAY;130600
23;1025;205;3.12;NEAR BAY;155000
35;1185;202;4.6154;INLAND;86200
36;904;191;2.4167;<1H OCEAN;192900
31;1021;191;5.5051;<1H OCEAN;223500
35;1032;207;2.8906;INLAND;134800
41;734;190;2.2813;<1H OCEAN;192000
30;859;221;1.9041;<1H OCEAN;105100
39;643;186;2.5729;<1H OCEAN;97300
34;789;200;3.119;<1H OCEAN;90300
36;923;165;3.5687;<1H OCEAN;120700
43;1005;199;4.3424;NEAR OCEAN;162500
35;1267;216;6.0441;<1H OCEAN;470000
37;987;187;3.5865;INLAND;112000
33;1191;198;2.8021;INLAND;118800
